"epoch_mjd","a","e","i","om","w","ma"
60400,5.216,0.0770,1.90,281.65,109.68,83.60
60400,5.152,0.0979,1.92,107.75,142.83,101.28
60400,5.225,0.0927,15.56,209.70,159.06,345.41
60400,5.296,0.0572,20.20,328.46,75.65,52.50
60400,5.235,0.1269,9.50,168.17,200.07,334.85
60400,5.166,0.0530,11.98,278.02,149.20,65.93
60400,5.18,0.1014,19.12,195.28,59.33,94.43
60400,5.177,0.0710,1.73,35.24,260.01,48.16
60400,5.125,0.1029,19.35,285.47,123.92,50.12
60400,5.156,0.0647,3.71,113.04,307.90,51.77
60400,5.2,0.0358,13.44,195.53,218.31,84.34
60400,5.125,0.0369,8.18,130.33,128.44,81.98
60400,5.208,0.0648,14.06,195.56,208.41,83.00
60400,5.211,0.0542,34.70,242.07,229.01,354.00
60400,5.262,0.0602,20.37,147.51,219.69,326.65
60400,5.212,0.0934,7.08,6.34,34.49,89.36
60400,5.205,0.0483,13.11,323.13,59.64,114.30
60400,5.165,0.0414,4.34,22.67,265.49,203.94
60400,5.316,0.0451,0.94,208.03,116.84,157.43
60400,5.212,0.0649,23.94,159.90,160.26,12.26
60400,5.322,0.0163,4.22,76.59,5.98,284.33
60400,5.157,0.1305,12.81,141.20,174.12,23.31
60400,5.257,0.0537,1.00,326.41,312.00,57.09
60400,5.118,0.0860,21.34,201.49,186.27,82.42
60400,5.104,0.0400,6.66,28.85,190.44,252.52
60400,5.075,0.0364,4.95,349.95,60.90,48.70
60400,5.223,0.1280,8.47,176.58,275.13,16.66
60400,5.168,0.0554,4.16,155.96,314.93,355.52
60400,5.24,0.0548,5.92,231.16,153.23,77.95
60400,5.191,0.0478,30.51,259.56,116.17,92.02
60400,5.206,0.1548,4.97,232.53,197.83,41.22
60400,5.24,0.0422,9.17,24.24,86.21,343.18
60400,5.189,0.0056,7.49,18.53,125.34,312.58
60400,5.192,0.0862,3.21,97.10,20.03,4.41
60400,5.167,0.0249,19.60,289.41,6.45,192.31
60400,5.262,0.0666,8.16,153.66,265.81,35.58
60400,5.288,0.0089,4.19,162.49,324.32,20.86
60400,5.204,0.0325,8.57,240.11,232.37,22.50
60400,5.178,0.0876,10.58,187.31,207.71,82.91
60400,5.175,0.0212,6.94,120.12,15.89,187.76
60400,5.173,0.0011,4.20,102.01,76.96,301.31
